Order_ID,Customer_ID,Customer_Name,Segment
CA-2013-152156,CG-12520,Claire Gute,Consumer
CA-2013-152156,CG-12520,Claire Gute,Consumer
CA-2013-138688,DV-13045,Darrin Van Huff,Corporate
US-2012-108966,SO-20335,Sean O'Donnell,Consumer
US-2012-108966,SO-20335,Sean O'Donnell,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2011-115812,BH-11710,Brosina Hoffman,Consumer
CA-2014-114412,AA-10480,Andrew Allen,Consumer
CA-2013-161389,IM-15070,Irene Maddox,Consumer
US-2012-118983,HP-14815,Harold Pawlan,Home Office
US-2012-118983,HP-14815,Harold Pawlan,Home Office
CA-2011-105893,PK-19075,Pete Kriz,Consumer
CA-2011-167164,AG-10270,Alejandro Grove,Consumer
CA-2011-143336,ZD-21925,Zuschuss Donatelli,Consumer
CA-2011-143336,ZD-21925,Zuschuss Donatelli,Consumer
CA-2011-143336,ZD-21925,Zuschuss Donatelli,Consumer
CA-2013-137330,KB-16585,Ken Black,Corporate
CA-2013-137330,KB-16585,Ken Black,Corporate
US-2014-156909,SF-20065,Sandra Flanagan,Consumer
CA-2012-106320,EB-13870,Emily Burns,Consumer
CA-2013-121755,EH-13945,Eric Hoffmann,Consumer
CA-2013-121755,EH-13945,Eric Hoffmann,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
US-2012-150630,TB-21520,Tracy Blumstein,Consumer
CA-2014-107727,MA-17560,Matt Abelman,Home Office
CA-2013-117590,GH-14485,Gene Hale,Corporate
CA-2013-117590,GH-14485,Gene Hale,Corporate
CA-2012-117415,SN-20710,Steve Nguyen,Home Office
CA-2012-117415,SN-20710,Steve Nguyen,Home Office
CA-2012-117415,SN-20710,Steve Nguyen,Home Office
CA-2012-117415,SN-20710,Steve Nguyen,Home Office
CA-2014-120999,LC-16930,Linda Cazamias,Corporate
CA-2013-101343,RA-19885,Ruben Ausman,Corporate
CA-2014-139619,ES-14080,Erin Smith,Corporate
CA-2013-118255,ON-18715,Odella Nelson,Corporate
CA-2013-118255,ON-18715,Odella Nelson,Corporate
CA-2011-146703,PO-18865,Patrick O'Donnell,Consumer
CA-2013-169194,LH-16900,Lena Hernandez,Consumer
CA-2013-169194,LH-16900,Lena Hernandez,Consumer
CA-2012-115742,DP-13000,Darren Powers,Consumer
CA-2012-115742,DP-13000,Darren Powers,Consumer
CA-2012-115742,DP-13000,Darren Powers,Consumer
CA-2012-115742,DP-13000,Darren Powers,Consumer
CA-2013-105816,JM-15265,Janet Molinari,Corporate
CA-2013-105816,JM-15265,Janet Molinari,Corporate
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2013-111682,TB-21055,Ted Butterfield,Consumer
CA-2012-135545,KM-16720,Kunst Miller,Consumer
CA-2012-135545,KM-16720,Kunst Miller,Consumer
CA-2012-135545,KM-16720,Kunst Miller,Consumer
CA-2012-135545,KM-16720,Kunst Miller,Consumer
US-2012-164175,PS-18970,Paul Stevenson,Home Office
CA-2011-106376,BS-11590,Brendan Sweed,Corporate
CA-2011-106376,BS-11590,Brendan Sweed,Corporate
CA-2013-119823,KD-16270,Karen Daniels,Consumer
CA-2013-106075,HM-14980,Henry MacAllister,Consumer
CA-2014-114440,TB-21520,Tracy Blumstein,Consumer
US-2012-134026,JE-15745,Joel Eaton,Consumer
US-2012-134026,JE-15745,Joel Eaton,Consumer
US-2012-134026,JE-15745,Joel Eaton,Consumer
US-2014-118038,KB-16600,Ken Brennan,Corporate
US-2014-118038,KB-16600,Ken Brennan,Corporate
US-2014-118038,KB-16600,Ken Brennan,Corporate
US-2011-147606,JE-15745,Joel Eaton,Consumer
CA-2013-127208,SC-20770,Stewart Carmichael,Corporate
CA-2013-127208,SC-20770,Stewart Carmichael,Corporate
CA-2011-139451,DN-13690,Duane Noonan,Consumer
CA-2011-139451,DN-13690,Duane Noonan,Consumer
CA-2012-149734,JC-16105,Julie Creighton,Corporate
US-2014-119662,CS-12400,Christopher Schild,Home Office
CA-2014-140088,PO-18865,Patrick O'Donnell,Consumer
CA-2014-155558,PG-18895,Paul Gonzalez,Consumer
CA-2014-155558,PG-18895,Paul Gonzalez,Consumer
CA-2013-159695,GM-14455,Gary Mitchum,Home Office
CA-2013-109806,JS-15685,Jim Sink,Corporate
CA-2013-109806,JS-15685,Jim Sink,Corporate
CA-2013-109806,JS-15685,Jim Sink,Corporate
CA-2012-149587,KB-16315,Karl Braun,Consumer
CA-2012-149587,KB-16315,Karl Braun,Consumer
CA-2012-149587,KB-16315,Karl Braun,Consumer
US-2014-109484,RB-19705,Roger Barcio,Home Office
CA-2014-161018,PN-18775,Parhena Norris,Home Office
CA-2014-157833,KD-16345,Katherine Ducich,Consumer
CA-2013-149223,ER-13855,Elpida Rittenbach,Corporate
CA-2013-158568,RB-19465,Rick Bensley,Home Office
CA-2013-158568,RB-19465,Rick Bensley,Home Office
CA-2013-158568,RB-19465,Rick Bensley,Home Office
CA-2013-129903,GZ-14470,Gary Zandusky,Consumer
US-2012-156867,LC-16870,Lena Cacioppo,Consumer
US-2012-156867,LC-16870,Lena Cacioppo,Consumer
US-2012-156867,LC-16870,Lena Cacioppo,Consumer
CA-2014-119004,JM-15250,Janet Martin,Consumer
CA-2014-119004,JM-15250,Janet Martin,Consumer
CA-2014-119004,JM-15250,Janet Martin,Consumer
CA-2012-129476,PA-19060,Pete Armstrong,Home Office
CA-2014-146780,CV-12805,Cynthia Voltz,Corporate
CA-2013-128867,CL-12565,Clay Ludtke,Consumer
CA-2013-128867,CL-12565,Clay Ludtke,Consumer
CA-2011-115259,RC-19960,Ryan Crowe,Consumer
CA-2011-115259,RC-19960,Ryan Crowe,Consumer
CA-2011-115259,RC-19960,Ryan Crowe,Consumer
CA-2011-115259,RC-19960,Ryan Crowe,Consumer
CA-2012-110457,DK-13090,Dave Kipp,Consumer
US-2012-136476,GG-14650,Greg Guthrie,Corporate
CA-2013-103730,SC-20725,Steven Cartwright,Consumer
CA-2013-103730,SC-20725,Steven Cartwright,Consumer
CA-2013-103730,SC-20725,Steven Cartwright,Consumer
CA-2013-103730,SC-20725,Steven Cartwright,Consumer
CA-2013-103730,SC-20725,Steven Cartwright,Consumer
US-2011-152030,AD-10180,Alan Dominguez,Home Office
US-2011-134614,PF-19165,Philip Fox,Consumer
US-2014-107272,TS-21610,Troy Staebel,Consumer
US-2014-107272,TS-21610,Troy Staebel,Consumer
US-2013-125969,LS-16975,Lindsay Shagiari,Home Office
US-2013-125969,LS-16975,Lindsay Shagiari,Home Office
US-2014-164147,DW-13585,Dorothy Wardle,Corporate
US-2014-164147,DW-13585,Dorothy Wardle,Corporate
US-2014-164147,DW-13585,Dorothy Wardle,Corporate
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-145583,LC-16885,Lena Creighton,Consumer
CA-2013-110366,JD-15895,Jonathan Doherty,Corporate
CA-2014-106180,SH-19975,Sally Hughsby,Corporate
CA-2014-106180,SH-19975,Sally Hughsby,Corporate
CA-2014-106180,SH-19975,Sally Hughsby,Corporate
CA-2014-155376,SG-20080,Sandra Glassco,Consumer
CA-2012-110744,HA-14920,Helen Andreada,Consumer
CA-2011-110072,MG-17680,Maureen Gastineau,Home Office
CA-2013-114489,JE-16165,Justin Ellison,Corporate
CA-2013-114489,JE-16165,Justin Ellison,Corporate
CA-2013-114489,JE-16165,Justin Ellison,Corporate
CA-2013-114489,JE-16165,Justin Ellison,Corporate
CA-2013-158834,TW-21025,Tamara Willingham,Home Office
CA-2013-158834,TW-21025,Tamara Willingham,Home Office
CA-2012-124919,SP-20650,Stephanie Phelps,Corporate
CA-2012-124919,SP-20650,Stephanie Phelps,Corporate
CA-2012-124919,SP-20650,Stephanie Phelps,Corporate
CA-2012-118948,NK-18490,Neil Knudson,Home Office
CA-2011-104269,DB-13060,Dave Brooks,Consumer
CA-2013-114104,NP-18670,Nora Paige,Consumer
CA-2013-114104,NP-18670,Nora Paige,Consumer
CA-2013-162733,TT-21070,Ted Trevino,Consumer
CA-2012-119697,EM-13960,Eric Murdock,Consumer
CA-2013-154508,RD-19900,Ruben Dartt,Consumer
CA-2013-113817,MJ-17740,Max Jones,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-139892,BM-11140,Becky Martin,Consumer
CA-2011-118962,CS-12130,Chad Sievert,Consumer
CA-2011-118962,CS-12130,Chad Sievert,Consumer
CA-2011-118962,CS-12130,Chad Sievert,Consumer
US-2011-100853,JB-15400,Jennifer Braxton,Corporate
US-2011-100853,JB-15400,Jennifer Braxton,Corporate
US-2014-152366,SJ-20500,Shirley Jackson,Consumer
US-2012-101511,JE-15745,Joel Eaton,Consumer
US-2012-101511,JE-15745,Joel Eaton,Consumer
CA-2012-137225,JK-15640,Jim Kriz,Home Office
CA-2011-166191,DK-13150,David Kendrick,Corporate
CA-2011-166191,DK-13150,David Kendrick,Corporate
CA-2011-158274,RM-19675,Robert Marley,Home Office
CA-2011-158274,RM-19675,Robert Marley,Home Office
CA-2011-158274,RM-19675,Robert Marley,Home Office
CA-2013-105018,SK-19990,Sally Knutson,Consumer
CA-2011-123260,FM-14290,Frank Merwin,Home Office
CA-2013-157000,AM-10360,Alice McCarthy,Corporate
CA-2013-157000,AM-10360,Alice McCarthy,Corporate
CA-2012-102281,MP-17470,Mark Packer,Home Office
CA-2012-102281,MP-17470,Mark Packer,Home Office
CA-2012-102281,MP-17470,Mark Packer,Home Office
CA-2012-102281,MP-17470,Mark Packer,Home Office
CA-2012-102281,MP-17470,Mark Packer,Home Office
CA-2012-131457,MZ-17515,Mary Zewe,Corporate
CA-2011-140004,CB-12025,Cassandra Brandow,Consumer
CA-2011-140004,CB-12025,Cassandra Brandow,Consumer
CA-2014-107720,VM-21685,Valerie Mitchum,Home Office
US-2014-124303,FH-14365,Fred Hopkins,Corporate
US-2014-124303,FH-14365,Fred Hopkins,Corporate
CA-2014-105074,MB-17305,Maria Bertelson,Consumer
CA-2011-133690,BS-11755,Bruce Stewart,Consumer
CA-2011-133690,BS-11755,Bruce Stewart,Consumer
US-2014-116701,LC-17140,Logan Currie,Consumer
CA-2014-126382,HK-14890,Heather Kirkland,Corporate
CA-2014-108329,LE-16810,Laurel Elliston,Consumer
CA-2014-135860,JH-15985,Joseph Holt,Consumer
CA-2014-135860,JH-15985,Joseph Holt,Consumer
CA-2014-135860,JH-15985,Joseph Holt,Consumer
CA-2014-135860,JH-15985,Joseph Holt,Consumer
CA-2014-135860,JH-15985,Joseph Holt,Consumer
CA-2012-101007,MS-17980,Michael Stewart,Corporate
CA-2012-146262,VW-21775,Victoria Wilson,Corporate
CA-2012-146262,VW-21775,Victoria Wilson,Corporate
CA-2012-146262,VW-21775,Victoria Wilson,Corporate
CA-2012-146262,VW-21775,Victoria Wilson,Corporate
CA-2012-146262,VW-21775,Victoria Wilson,Corporate
CA-2013-130162,JH-15910,Jonathan Howell,Consumer
CA-2013-130162,JH-15910,Jonathan Howell,Consumer
